pool,x_centre,slope_median,slope_q25,slope_q75,n_blocks_fitted
1bp_WETH_USDC,-0.4,-1.0179349574314072,-1.4530541682150597,2.29034455645321,1545
1bp_WETH_USDC,-0.39,-0.8602099150636596,-1.454693476560874,2.563328152807462,1550
1bp_WETH_USDC,-0.38,-0.593024605294101,-1.4529325186110373,2.8370310859520513,1552
1bp_WETH_USDC,-0.37,-0.36328479203364605,-1.4598544004589242,3.620875008035791,1548
1bp_WETH_USDC,-0.36,-0.008555331424844641,-1.4468144664379705,4.263408550955223,1545
1bp_WETH_USDC,-0.35,-0.004065773705040745,-1.4441892758616754,3.9835176819449085,1542
1bp_WETH_USDC,-0.34,-0.2215215413396573,-1.474061441811071,3.993733818976975,1559
1bp_WETH_USDC,-0.33,-0.34601801590125114,-1.4825529117490335,4.713398147797472,1581
1bp_WETH_USDC,-0.32,-0.22245472190293822,-1.4595534983677927,4.971912821292204,1583
1bp_WETH_USDC,-0.31,-0.2742404294605477,-1.437443424752133,4.439254152273217,1600
1bp_WETH_USDC,-0.3,0.0017437163269544995,-1.4309167222485164,4.41929638191948,1620
1bp_WETH_USDC,-0.29,0.11019632703717025,-1.4395814503867101,4.617354794277498,1623
1bp_WETH_USDC,-0.28,0.2748428556230681,-1.4208313651339766,4.860342720688896,1624
1bp_WETH_USDC,-0.27,0.06423110379797398,-1.3036871094379,4.763144811631742,1622
1bp_WETH_USDC,-0.26,0.31348002555756005,-1.3155702819759165,5.613369736992972,1624
1bp_WETH_USDC,-0.25,0.43918404071431594,-1.2864068672046178,6.08976660313358,1624
1bp_WETH_USDC,-0.24,0.7059385867331311,-1.1691674185231233,5.53701049546152,1622
1bp_WETH_USDC,-0.23,0.8114704699417572,-1.0630430759980805,5.096431911060973,1627
1bp_WETH_USDC,-0.22,0.8070203655507574,-1.026543751656576,5.381812323539167,1623
1bp_WETH_USDC,-0.21,0.9803944495800332,-0.864739801162863,5.9353444791584895,1628
1bp_WETH_USDC,-0.2,1.152499787262308,-0.8043161285086016,6.487581831584144,1618
1bp_WETH_USDC,-0.19,1.3006672496086322,-0.7187498667906553,6.854956058574315,1624
1bp_WETH_USDC,-0.18,1.0097482480540836,-0.6500333880459689,7.0508095116569,1624
1bp_WETH_USDC,-0.17,1.1446115503904124,-0.5558807304911261,6.765218893907858,1625
1bp_WETH_USDC,-0.16,1.441072237951258,-0.5247707805932396,7.239696815087947,1629
1bp_WETH_USDC,-0.15,2.2755428395193027,-0.46396916533005683,7.264939483547247,1630
1bp_WETH_USDC,-0.14,2.739829721336668,-0.3768228290834969,7.355361067758128,1632
1bp_WETH_USDC,-0.13,2.6035526536317914,-0.19127368674198783,7.574565486510997,1636
1bp_WETH_USDC,-0.12,2.9193464820306443,-0.38339642211700176,7.832584698921353,1638
1bp_WETH_USDC,-0.11,2.8241348450528565,-0.3560632141824176,8.332150204151173,1633
1bp_WETH_USDC,-0.1,2.886524439241037,-0.22865395065462824,8.747921150653331,1634
1bp_WETH_USDC,-0.09,3.0782529125911315,-0.10003367452095369,8.232313576986336,1632
1bp_WETH_USDC,-0.08,2.9657194802379943,-0.08724808154414154,7.814673355669774,1636
1bp_WETH_USDC,-0.07,2.888881132353088,-0.23582882327047777,8.119063044019132,1635
1bp_WETH_USDC,-0.06,2.8897645969626735,-0.5099043889210753,7.459625116303218,1636
1bp_WETH_USDC,-0.05,2.316078818180781,-0.7943752904777994,7.740617788458164,1634
1bp_WETH_USDC,-0.04,1.9479200461403998,-1.0088863590352295,7.494569674729918,1633
1bp_WETH_USDC,-0.03,1.9293971119564306,-1.1351263979243542,7.106247228071135,1637
1bp_WETH_USDC,-0.02,1.1488329697335133,-1.4620369055884481,6.800314521974571,1635
1bp_WETH_USDC,-0.01,-0.03192818145626405,-1.8407030461388114,5.040867602011196,1637
1bp_WETH_USDC,0.0,-1.0967639235065507,-3.420628350170675,1.9153443464306261,1637
1bp_WETH_USDC,0.01,-1.5968607492364963,-5.831679874770911,0.5152874983558442,1632
1bp_WETH_USDC,0.02,-2.3759540216638806,-8.58173359706889,-0.3874729900801754,1633
1bp_WETH_USDC,0.03,-2.6453024901279933,-8.934550226500857,-0.7641655500765787,1630
1bp_WETH_USDC,0.04,-2.892983249692181,-8.96846147949284,-1.0281529300218417,1635
1bp_WETH_USDC,0.05,-2.9766048575281054,-9.329238886902534,-1.2809551865940692,1634
1bp_WETH_USDC,0.06,-3.0224501262391783,-9.336714047781006,-1.4637463434728957,1634
1bp_WETH_USDC,0.07,-3.2853373501791796,-9.735503773673399,-1.5229219425864307,1626
1bp_WETH_USDC,0.08,-3.3389508989532724,-10.00674203023748,-1.5367590403921687,1612
1bp_WETH_USDC,0.09,-3.21378132031197,-9.791585694344764,-1.5097599379717415,1604
1bp_WETH_USDC,0.1,-2.935859229974919,-8.845300379832556,-1.4978924664810072,1622
1bp_WETH_USDC,0.11,-2.8172554090060418,-8.460219261831762,-1.497635015126544,1624
1bp_WETH_USDC,0.12,-2.876485073475361,-8.027177940162387,-1.4955180806734085,1616
1bp_WETH_USDC,0.13,-2.8064331596537047,-7.9125570884187795,-1.5016844596449173,1626
1bp_WETH_USDC,0.14,-3.019759043976003,-7.400889975644228,-1.50566119978662,1616
1bp_WETH_USDC,0.15,-3.0211731878118337,-7.622568855764849,-1.5107521980716443,1614
1bp_WETH_USDC,0.16,-2.9191409590417807,-7.4962486525869965,-1.5058884113037634,1605
1bp_WETH_USDC,0.17,-2.766321225128155,-7.304765508889125,-1.5118381119167545,1590
1bp_WETH_USDC,0.18,-2.9125127003083393,-6.825983146828639,-1.5133635638455714,1576
1bp_WETH_USDC,0.19,-2.528745002941848,-6.421075044379218,-1.477470024883289,1571
1bp_WETH_USDC,0.2,-2.3865337778147735,-5.939988142392786,-1.502909808356955,1574
1bp_WETH_USDC,0.21,-2.2910546974905746,-5.21701267864986,-1.5114981680994144,1571
1bp_WETH_USDC,0.22,-2.337115740247433,-5.27070056296464,-1.525130853892036,1572
1bp_WETH_USDC,0.23,-2.3105480968944105,-5.325221958287605,-1.5377432737942307,1550
1bp_WETH_USDC,0.24,-2.4405091711291216,-4.995217914926326,-1.50306643935083,1528
1bp_WETH_USDC,0.25,-2.2872693796268173,-4.93968220030451,-1.5055917245664003,1500
1bp_WETH_USDC,0.26,-2.336793475112181,-4.8791414257746055,-1.5201920864105303,1485
1bp_WETH_USDC,0.27,-2.4801800739848594,-5.227337172365302,-1.5366461635515245,1495
1bp_WETH_USDC,0.28,-2.6244731990633654,-5.39773921959557,-1.5454743031879246,1480
1bp_WETH_USDC,0.29,-2.579624523836766,-5.4096562901416085,-1.5656404750975137,1449
1bp_WETH_USDC,0.3,-2.5362925549595814,-4.861377522482881,-1.5641139431503484,1425
1bp_WETH_USDC,0.31,-2.5031658884050363,-4.761081460386371,-1.53494584265216,1399
1bp_WETH_USDC,0.32,-2.536055406872493,-4.769673345944087,-1.5542684716107382,1400
1bp_WETH_USDC,0.33,-2.6168640131651557,-4.952345052897945,-1.5570505501481167,1372
1bp_WETH_USDC,0.34,-2.536627946862836,-4.958058302317828,-1.5669418130945794,1366
1bp_WETH_USDC,0.35,-2.5756768035931503,-4.795276066599422,-1.5927708039913566,1359
