pool,block_number,slope,beta_shape,r2
5bp_WETH_USDC,21270263,-2.978897725925408,1.489448862962704,0.4232543151670999
5bp_WETH_USDC,21272663,-2.956378466726349,1.4781892333631745,0.4228209746727474
5bp_WETH_USDC,21275063,-2.9347052079325007,1.4673526039662503,0.41470857827002516
5bp_WETH_USDC,21277463,-2.963355999215291,1.4816779996076455,0.4191247726201175
5bp_WETH_USDC,21279863,-2.8454154592460603,1.4227077296230302,0.379043888690208
5bp_WETH_USDC,21282263,-3.0198298299588275,1.5099149149794138,0.3961645913815348
5bp_WETH_USDC,21284663,-2.673930095504051,1.3369650477520254,0.33493235924561593
5bp_WETH_USDC,21287063,-2.597588213733199,1.2987941068665996,0.3690409107760273
5bp_WETH_USDC,21289463,-2.600321442207303,1.3001607211036514,0.3723751637532263
5bp_WETH_USDC,21291863,-2.598347892426955,1.2991739462134775,0.37161817309909717
5bp_WETH_USDC,21294263,-2.562312737722234,1.281156368861117,0.36046043054357246
5bp_WETH_USDC,21296663,-2.5277811231469745,1.2638905615734872,0.3552984286251667
5bp_WETH_USDC,21299063,-2.835332477210068,1.417666238605034,0.40050320485379054
5bp_WETH_USDC,21301463,-2.7536434422962928,1.3768217211481464,0.38604045799741793
5bp_WETH_USDC,21303863,-2.8937746597218794,1.4468873298609397,0.4096234089891564
5bp_WETH_USDC,21306263,-2.8772945238210945,1.4386472619105473,0.4075555779125767
5bp_WETH_USDC,21308663,-3.003342519437647,1.5016712597188235,0.4247016504742237
5bp_WETH_USDC,21311063,-2.855498052514852,1.427749026257426,0.39174295325962094
5bp_WETH_USDC,21313463,-2.6633303550204452,1.3316651775102226,0.37532319234472733
5bp_WETH_USDC,21315863,-2.6896587713018136,1.3448293856509068,0.3802406022340099
5bp_WETH_USDC,21318263,-2.532394002798832,1.266197001399416,0.35485353478324577
5bp_WETH_USDC,21320663,-2.4237616204454504,1.2118808102227252,0.3471955950755198
5bp_WETH_USDC,21323063,-2.458202311604091,1.2291011558020455,0.34798279681589983
5bp_WETH_USDC,21325463,-2.51837723476024,1.25918861738012,0.3486712242339223
5bp_WETH_USDC,21327863,-2.8881611191743635,1.4440805595871817,0.40680481710839234
5bp_WETH_USDC,21330263,-3.4116976923046356,1.7058488461523178,0.4281755582825906
5bp_WETH_USDC,21332663,-3.619129214000667,1.8095646070003335,0.4290442724744541
5bp_WETH_USDC,21335063,-3.870560162514618,1.935280081257309,0.4649239432182719
5bp_WETH_USDC,21337463,-3.8073061753593054,1.9036530876796527,0.4433394762385223
5bp_WETH_USDC,21339863,-3.3659941608466237,1.6829970804233119,0.38704862124652417
5bp_WETH_USDC,21342263,-3.200013501935386,1.600006750967693,0.3893374345692677
5bp_WETH_USDC,21344663,-3.643827432457499,1.8219137162287495,0.46554693439962047
5bp_WETH_USDC,21347063,-3.7120463506818675,1.8560231753409338,0.5518981051397132
5bp_WETH_USDC,21349463,-3.4609029901740263,1.7304514950870131,0.5366960093639566
5bp_WETH_USDC,21351863,-3.469570167712545,1.7347850838562724,0.49082183860525186
5bp_WETH_USDC,21354263,-3.4808728168324072,1.7404364084162036,0.5012791330188624
5bp_WETH_USDC,21356663,-3.2584880189515744,1.6292440094757872,0.45963914824429664
5bp_WETH_USDC,21359063,-3.4138461955433272,1.7069230977716636,0.5215711427163439
5bp_WETH_USDC,21361463,-3.3639784712153276,1.6819892356076638,0.5132318768994721
5bp_WETH_USDC,21363863,-2.921686801212883,1.4608434006064415,0.4400953819757749
5bp_WETH_USDC,21366263,-2.773026728169436,1.386513364084718,0.396769047358966
5bp_WETH_USDC,21368663,-2.35725239574518,1.17862619787259,0.3222129265972712
5bp_WETH_USDC,21371063,-2.235944171235401,1.1179720856177005,0.3010283136297969
5bp_WETH_USDC,21373463,-1.7748815563059064,0.8874407781529532,0.21894664471359315
5bp_WETH_USDC,21375863,-1.7602346923707446,0.8801173461853723,0.21376070880829
5bp_WETH_USDC,21378263,-2.004714000285842,1.002357000142921,0.25543591871860327
