pool,w,branch,n_ticks_median,n_ticks_p5,mass_frac_median,beta_median,beta_iqr
5bp_WBTC_USDT,0.5,below,48.0,9.0,0.9850959099194329,-3.1477442719523916,3.8913445090532326
5bp_WBTC_WETH,0.02,above,8.0,3.0,0.18386715232475395,3.8346310550522067,11.533863418118662
5bp_WBTC_WETH,0.02,below,8.0,3.0,0.038762347046474806,0.41104387227084227,7.124597297266304
5bp_WBTC_WETH,0.05,above,18.0,9.0,0.37743910577857887,6.505696092187949,9.127802128484447
5bp_WBTC_WETH,0.05,below,18.0,8.0,0.0887356697419548,-2.2202587934772446,7.275578453948834
5bp_WBTC_WETH,0.1,above,31.0,19.0,0.6102186362701859,5.912183022663144,7.701585489658704
5bp_WBTC_WETH,0.1,below,35.0,20.0,0.1416320946570415,-3.6724468627937648,6.0035047271286315
5bp_WBTC_WETH,0.15,above,41.0,27.0,0.7352408377456908,6.399956918663552,7.6385937001448925
5bp_WBTC_WETH,0.15,below,51.0,33.0,0.1772992023027227,-3.689543678143605,5.438394477068048
5bp_WBTC_WETH,0.22,above,52.0,33.0,0.8537988427168435,6.295357020480976,6.0112694524701595
5bp_WBTC_WETH,0.22,below,72.0,46.0,0.20704210098932924,-3.874503118677033,4.407427794803107
5bp_WBTC_WETH,0.35,above,66.0,37.0,0.9481587296091402,6.0438563662418545,4.19740659894734
5bp_WBTC_WETH,0.35,below,103.0,70.0,0.25826348375131847,-1.8944674234254868,3.291398868734142
5bp_WBTC_WETH,0.5,above,77.0,39.0,0.9665164314920303,5.59868439096452,2.8488350408976384
5bp_WBTC_WETH,0.5,below,137.0,97.0,0.3497388453726647,-0.42843135798586096,2.4068185995421474
5bp_WETH_USDC,0.02,above,19.0,14.0,0.06309619507341252,0.7677151590361924,3.3876901281874687
5bp_WETH_USDC,0.02,below,19.0,14.0,0.023851023303684476,-0.06386728118525115,4.477228695427367
5bp_WETH_USDC,0.05,above,47.0,33.0,0.15513879241046985,1.1763671264629925,3.5182002063603526
5bp_WETH_USDC,0.05,below,47.0,36.0,0.0570556667891854,-1.294286307442389,5.1259319105327545
